horodatage,media,reussis,echecs
2026-06-08T14:13:12,le_nouvel_observateur,5611,190
2026-06-08T14:13:12,les_echos,5795,6
2026-06-08T14:13:12,nice_matin,5266,535
2026-06-08T14:13:12,paris_match,5435,366
2026-06-08T14:13:12,telerama,5244,557
2026-06-08T14:13:12,valeurs_actuelles,5800,1
2026-06-09T14:00:00,le_capital,6540,8
2026-06-09T14:00:00,le_figaro,3950,2585
2026-06-09T14:00:00,le_journal_du_dimanche,6480,68
2026-06-09T14:00:00,le_monde,137,760
2026-06-09T14:00:00,le_nouvel_observateur,6409,139
2026-06-09T14:00:00,les_echos,6528,20
2026-06-09T14:00:00,nice_matin,5715,36
2026-06-09T14:00:00,paris_match,6076,472
2026-06-09T14:00:00,telerama,6481,67
2026-06-09T14:00:00,valeurs_actuelles,6529,19
2026-06-09T14:18:52,le_capital,6640,8
2026-06-09T14:18:52,le_figaro,4001,2634
2026-06-09T14:18:52,le_journal_du_dimanche,6580,68
2026-06-09T14:18:52,le_monde,143,854
2026-06-09T14:18:52,le_nouvel_observateur,6507,141
2026-06-09T14:18:52,les_echos,6628,20
2026-06-09T14:18:52,nice_matin,5814,37
2026-06-09T14:18:52,paris_match,6170,478
2026-06-09T14:18:52,telerama,6580,68
2026-06-09T14:18:52,valeurs_actuelles,6629,19
2026-06-09T14:39:36,le_capital,6740,8
2026-06-09T14:39:36,le_figaro,4067,2668
2026-06-09T14:39:36,le_journal_du_dimanche,6679,69
2026-06-09T14:39:36,le_monde,145,952
2026-06-09T14:39:36,le_nouvel_observateur,6607,141
2026-06-09T14:39:36,les_echos,6728,20
2026-06-09T14:39:36,nice_matin,5914,37
2026-06-09T14:39:36,paris_match,6262,486
2026-06-09T14:39:36,telerama,6680,68
2026-06-09T14:39:36,valeurs_actuelles,6729,19
2026-06-09T14:59:00,le_capital,6840,8
2026-06-09T14:59:00,le_figaro,4125,2710
2026-06-09T14:59:00,le_journal_du_dimanche,6778,70
2026-06-09T14:59:00,le_monde,145,1052
2026-06-09T14:59:00,le_nouvel_observateur,6702,146
2026-06-09T14:59:00,les_echos,6828,20
2026-06-09T14:59:00,nice_matin,6014,37
2026-06-09T14:59:00,paris_match,6357,491
2026-06-09T14:59:00,telerama,6780,68
2026-06-09T14:59:00,valeurs_actuelles,6829,19
2026-06-09T15:18:18,le_capital,6940,8
2026-06-09T15:18:18,le_figaro,4174,2761
2026-06-09T15:18:18,le_journal_du_dimanche,6877,71
2026-06-09T15:18:18,le_monde,182,1115
2026-06-09T15:18:18,le_nouvel_observateur,6795,153
2026-06-09T15:18:18,les_echos,6928,20
2026-06-09T15:18:18,nice_matin,6114,37
2026-06-09T15:18:18,paris_match,6445,503
2026-06-09T15:18:18,telerama,6880,68
2026-06-09T15:18:18,valeurs_actuelles,6929,19
2026-06-09T15:36:07,le_capital,7040,8
2026-06-09T15:36:07,le_figaro,4241,2794
2026-06-09T15:36:07,le_journal_du_dimanche,6976,72
2026-06-09T15:36:07,le_monde,218,1179
2026-06-09T15:36:07,le_nouvel_observateur,6895,153
2026-06-09T15:36:07,les_echos,7028,20
2026-06-09T15:36:07,nice_matin,6213,38
2026-06-09T15:36:07,paris_match,6538,510
2026-06-09T15:36:07,telerama,6980,68
2026-06-09T15:36:07,valeurs_actuelles,7029,19
2026-06-09T15:54:03,le_capital,7140,8
2026-06-09T15:54:03,le_figaro,4321,2814
2026-06-09T15:54:03,le_journal_du_dimanche,7076,72
2026-06-09T15:54:03,le_monde,261,1236
2026-06-09T15:54:03,le_nouvel_observateur,6991,157
2026-06-09T15:54:03,les_echos,7128,20
2026-06-09T15:54:03,nice_matin,6313,38
