mot,total,jours_actifs,n_medias
style,381993,6803,36
textes,322463,6798,36
dépenses,539932,6792,36
considéré,286650,6801,36
journaux,142436,6799,36
matériel,578018,6795,36
bois,1058322,6802,36
climat,469868,6798,36
perdre,484613,6804,36
violence,568136,6803,36
préparer,542755,6802,36
consacré,300022,6797,36
tenter,505351,6804,36
bons,692282,6804,36
candidats,862572,6800,36
armées,214576,6781,36
cesse,301047,6803,36
voire,707972,6804,36
étrangère,135328,6779,36
organisé,1011604,6801,36
revue,246467,6789,36
apparaît,241351,6795,36
importantes,273573,6794,36
équipe,2209875,6804,36
goût,438425,6804,36
arrive,670213,6804,36
nul,441052,6803,36
leader,658651,6804,36
claude,998799,6804,36
joue,684510,6804,36
lyon,697973,6804,36
tenté,409566,6803,36
entier,339984,6802,36
fille,1186173,6804,36
l'onu,374838,6800,36
message,707443,6804,36
devront,425396,6804,36
rome,238429,6804,36
l'initiative,364138,6798,36
acte,426255,6804,36
