mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
aucun,20101129,4.1019,-0.6832,-0.7659,-1.8213,-1.5688,,,,
aucun,20150323,4.4548,-0.7722,-0.0441,1.2327,-0.5934,,,,
aucun,20200317,5.1812,3.8937,-0.6349,-1.7378,1.0261,,,,
aucun,20220611,99.4265,-1.1093,-1.4573,-0.1956,0.0187,-1.76,-0.951,-0.2782,0.3007
sécurité,20091228,5.0299,2.3978,0.3275,0.6614,-1.0232,,,,
sécurité,20110317,5.3208,0.2635,1.6564,-1.3553,-1.5233,,,,
sécurité,20151115,16.5744,2.2231,-0.2154,2.335,-0.1174,2.0567,-1.2705,2.0014,-0.1171
sécurité,20160323,4.6961,0.1353,-0.4248,1.3081,-0.1827,,,,
sécurité,20160715,5.5178,3.2363,-0.0966,0.799,1.4548,,,,
sécurité,20260310,4.6102,-3.7056,2.2374,-1.0186,0.5375,,,,
ville,20200311,4.5404,-2.9374,2.6765,0.9749,-0.5173,,,,
ville,20220611,5.7165,-0.3413,-1.6558,-0.4769,1.2832,,,,
tant,20220521,4.4056,-0.66,1.5872,-0.3021,-0.3138,,,,
effet,20080501,5.0054,-0.7411,1.0401,-1.4594,1.5553,,,,
effet,20091207,5.1419,0.9454,2.0318,0.1661,1.5694,,,,
effet,20220629,5.5427,1.0741,-1.958,-1.1997,-0.1947,,,,
effet,20240422,6.7226,2.2673,-1.0327,1.3126,-0.0235,1.8326,-1.91,1.0498,-0.0346
effet,20240829,7.0709,-1.1017,2.8036,1.4983,1.806,0.0827,3.0179,2.1551,1.9237
national,20081124,4.0844,1.1357,0.6158,-1.0284,0.044,,,,
national,20100316,4.1265,-0.1951,1.437,0.1828,-1.0704,,,,
national,20110320,7.8582,0.7425,1.6924,1.1088,0.6585,1.2442,1.0985,1.3671,0.6644
national,20120422,9.8932,2.1651,-0.4326,1.5365,-0.1252,1.8501,-1.3841,1.1414,-0.2842
national,20140325,8.7988,0.9066,0.7296,0.0566,-1.2795,0.976,0.3315,-0.148,-1.0117
national,20150323,17.3589,-0.0839,0.2781,0.8439,0.037,-0.1057,0.1399,0.8499,0.2142
national,20151206,18.5772,0.4807,0.854,1.737,-0.1085,0.6995,0.3676,1.688,-0.1157
national,20170508,12.0216,-1.7041,1.964,-2.0672,1.3628,-1.0739,2.7477,-1.2406,1.8
national,20190528,7.3109,-1.9981,1.696,-1.2309,-0.5802,-1.4516,2.4582,-1.0243,-0.4567
national,20210628,4.9528,-2.57,2.7546,-0.6683,1.0926,,,,
national,20220611,18.373,0.926,-0.156,0.7749,0.8249,0.7999,-0.5126,0.5302,0.7989
national,20240630,28.1087,-0.4924,2.3088,1.0586,0.855,0.3207,2.1519,1.5035,0.7542
