mot,categorie,source
salaires,nom,lexique
séance,nom,lexique
établi,nom,lexique
l'article,nom,lexique
pièces,nom,lexique
baisse,nom,lexique
graves,nom,lexique
recevoir,verbe,lexique
positions,nom,lexique
auteurs,nom,lexique
parisienne,nom,lexique
crédit,nom,lexique
appelle,verbe,lexique
côtés,nom,lexique
mm,nom,lexique
lieux,nom,lexique
estimé,verbe,lexique
élus,nom,lexique
effets,nom,lexique
consommation,nom,lexique
port,nom,lexique
considère,verbe,lexique
refus,nom,lexique
course,nom,lexique
chercher,verbe,lexique
remettre,verbe,lexique
fer,nom,lexique
n'avaient,verbe,lexique
mère,nom,lexique
marie,verbe,lexique
communes,nom,lexique
spectacle,nom,lexique
postes,nom,lexique
l'impression,nom,lexique
adjoint,nom,lexique
l'avait,verbe,lexique
style,nom,lexique
textes,nom,lexique
dépenses,nom,lexique
considéré,verbe,lexique
journaux,nom,lexique
matériel,nom,lexique
bois,nom,lexique
climat,nom,lexique
perdre,verbe,lexique
violence,nom,lexique
préparer,verbe,lexique
consacré,adj,lexique
tenter,verbe,lexique
bons,nom,lexique
candidats,nom,lexique
armées,nom,lexique
cesse,nom,lexique
voire,autre,lexique
étrangère,nom,lexique
organisé,adj,lexique
revue,nom,lexique
apparaît,verbe,lexique
importantes,adj,lexique
équipe,nom,lexique
goût,nom,lexique
arrive,verbe,lexique
nul,nom,lexique
leader,nom,lexique
claude,nom_propre,manuel
joue,nom,lexique
lyon,nom_propre,spacy
tenté,adj,lexique
entier,nom,lexique
fille,nom,lexique
l'onu,nom_propre,spacy
message,nom,lexique
devront,verbe,lexique
rome,nom_propre,spacy
l'initiative,nom,lexique
acte,nom,lexique
offre,nom,lexique
clairement,autre,lexique
d'action,nom,lexique
francs,nom,lexique
soviétique,nom,lexique
continuer,verbe,lexique
circonstances,nom,lexique
formes,nom,lexique
film,nom,lexique
secret,nom,lexique
l'après,autre,lexique
côte,nom,lexique
frontières,nom,lexique
l'existence,nom,lexique
concurrence,nom,lexique
entièrement,autre,lexique
financier,nom,lexique
afp,nom_propre,spacy
l'essentiel,nom,lexique
institutions,nom,lexique
télévision,nom,lexique
cessé,verbe,lexique
difficulté,nom,lexique
l'instant,nom,lexique
délégué,nom,lexique
onze,nom,lexique
tentative,nom,lexique
foi,nom,lexique
remise,nom,lexique
s'agissait,verbe,lexique
joué,adj,lexique
suffit,verbe,lexique
autrement,autre,lexique
chances,nom,lexique
complètement,nom,lexique
cherche,verbe,lexique
gestion,nom,lexique
états,nom,lexique
capable,adj,lexique
permettant,verbe,lexique
occasion,nom,lexique
transports,nom,lexique
souci,nom,lexique
démocrate,nom,lexique
masse,nom,lexique
responsabilités,nom,lexique
travailler,verbe,lexique
surprise,nom,lexique
su,adj,lexique
échanges,nom,lexique
syndicat,nom,lexique
thème,nom,lexique
mises,nom,lexique
mener,verbe,lexique
l'étude,nom,lexique
l'indépendance,nom,lexique
auparavant,autre,lexique
règlement,nom,lexique
concours,nom,lexique
bernard,nom_propre,spacy
atteindre,verbe,lexique
différence,nom,lexique
jusqu'ici,autre,lexique
meilleurs,nom,lexique
locales,adj,lexique
nettement,autre,lexique
indispensable,nom,lexique
réduit,nom,lexique
l'unité,nom,lexique
acquis,nom,lexique
printemps,nom,lexique
blessés,nom,lexique
quotidien,nom,lexique
capital,nom,lexique
réaction,nom,lexique
dispose,adj,lexique
passant,nom,lexique
lois,nom,lexique
effort,nom,lexique
refuse,verbe,lexique
objectifs,nom,lexique
disent,verbe,lexique
publication,nom,lexique
délai,nom,lexique
d'y,nom,lexique
cadres,nom,lexique
candidat,nom,lexique
méthodes,nom,lexique
connaît,verbe,lexique
historique,nom,lexique
alliés,nom,lexique
bref,nom,lexique
d'eux,autre,lexique
marseille,nom_propre,spacy
relève,nom,lexique
industriels,nom,lexique
recherches,nom,lexique
lire,nom,lexique
saison,nom,lexique
henri,nom_propre,spacy
coût,nom,lexique
mauvaise,adj,lexique
sortie,nom,lexique
ferme,nom,lexique
contrairement,autre,lexique
exprimé,verbe,lexique
risques,nom,lexique
retrouve,verbe,lexique
citoyens,nom,lexique
armée,nom,lexique
esprit,nom,lexique
conclusion,nom,lexique
classique,nom,lexique
pièce,nom,lexique
sensible,adj,lexique
l'emploi,nom,lexique
conduite,nom,lexique
l'opération,nom,lexique
peur,nom,lexique
soutenir,verbe,lexique
tradition,nom,lexique
mandat,nom,lexique
sang,nom,lexique
parents,nom,lexique
l'autorité,nom,lexique
limite,nom,lexique
règles,nom,lexique
célèbre,adj,lexique
bonnes,nom,lexique
mondial,adj,lexique
visage,nom,lexique
