mot,date,X_t,N_t,f_t,p_t,surprise
voir,19650727,147,271510,54.14,1.663e-05,4.78
voir,19650906,158,265486,59.51,3.284e-07,6.48
voir,19780622,221,439001,50.34,4.132e-05,4.38
parti,19460528,236,107669,219.19,1.045e-05,4.98
parti,19460605,261,125831,207.42,2.572e-05,4.59
parti,19461115,308,129476,237.88,1.741e-06,5.76
parti,19471029,278,129198,215.17,1.294e-05,4.89
parti,19480701,251,130522,192.30,9.064e-05,4.04
conseil,19460408,273,116563,234.21,5.108e-05,4.29
conseil,19580729,470,211836,221.87,9.336e-05,4.03
conseil,19890311,1539,476220,323.17,6.553e-08,7.18
conseil,19950611,1286,490540,262.16,5.108e-06,5.29
conseil,19950618,1237,503898,245.49,1.617e-05,4.79
hommes,19450511,83,97071,85.50,5.252e-07,6.28
hommes,19500829,110,161101,68.28,3.878e-05,4.41
hommes,19620419,166,261870,63.39,8.150e-05,4.09
hommes,20040813,326,435458,74.86,2.250e-07,6.65
hommes,20040820,288,419530,68.65,4.113e-06,5.39
hommes,20040827,286,463242,61.74,6.872e-05,4.16
hommes,20060818,199,291289,68.32,9.204e-06,5.04
jean,19880612,1517,453740,334.33,2.981e-09,8.53
jean,19880927,1565,459685,340.45,1.809e-09,8.74
jean,19920326,2148,518800,414.03,4.060e-12,11.39
jean,19920403,1166,518718,224.78,1.551e-05,4.81
jean,19930326,2859,722293,395.82,1.711e-11,10.77
jean,19940323,1777,572975,310.14,1.990e-08,7.70
jean,19940330,979,462023,211.89,4.113e-05,4.39
jean,19970524,1648,585892,281.28,1.964e-07,6.71
jean,19980319,2195,575397,381.48,5.919e-11,10.23
jean,19980327,1374,625128,219.79,2.204e-05,4.66
jean,20010316,5334,1525842,349.58,7.128e-10,9.15
jean,20010323,2750,1294161,212.49,3.596e-05,4.44
jean,20020426,2368,1190389,198.93,9.828e-05,4.01
jean,20020503,2654,1005176,264.03,7.127e-07,6.15
jean,20020510,2451,1067917,229.51,1.013e-05,4.99
jean,20040326,2010,723999,277.62,2.541e-07,6.59
jean,20040402,1705,704373,242.06,4.038e-06,5.39
jean,20070608,1365,674741,202.30,7.980e-05,4.10
porte,19910216,210,380590,55.18,3.836e-05,4.42
porte,20030321,350,632832,55.31,1.184e-05,4.93
porte,20120427,453,841614,53.83,1.982e-05,4.70
porte,20150109,349,644622,54.14,2.440e-05,4.61
soir,19471201,58,69475,83.48,4.396e-05,4.36
soir,19680522,250,346177,72.22,5.052e-05,4.30
soir,19760821,232,275860,84.10,2.748e-06,5.56
millions,19541217,344,250459,137.35,3.260e-05,4.49
droit,19460826,135,168567,80.09,2.014e-05,4.70
droit,19461005,114,148408,76.82,8.436e-05,4.07
droit,19461030,120,150913,79.52,3.331e-05,4.48
droit,19981204,469,591259,79.32,2.375e-06,5.62
demande,19460330,78,116237,67.10,2.629e-05,4.58
demande,19460801,101,163052,61.94,6.147e-05,4.21
demande,19460809,116,165039,70.29,1.470e-06,5.83
demande,19460903,97,156373,62.03,6.776e-05,4.17
demande,19500222,197,181034,108.82,4.962e-16,15.30
demande,19530217,102,163418,62.42,5.006e-05,4.30
demande,19561103,162,254626,63.62,7.409e-06,5.13
demande,19600916,159,252733,62.91,1.066e-05,4.97
demande,19680522,197,346177,56.91,9.069e-05,4.04
raison,19490416,78,144458,53.99,2.657e-05,4.58
raison,19501102,103,185973,55.38,2.314e-06,5.64
raison,19840628,201,440036,45.68,5.580e-05,4.25
raison,19840816,193,339002,56.93,1.165e-08,7.93
nord,19441222,115,80998,141.98,4.078e-08,7.39
nord,19441230,92,80686,114.02,8.813e-06,5.05
nord,19450107,185,77964,237.29,7.586e-17,16.12
nord,19450116,129,55684,231.66,3.397e-15,14.47
nord,19450124,99,61155,161.88,2.516e-09,8.60
nord,19450201,120,74306,161.49,1.120e-09,8.95
nord,19450209,117,73221,159.79,1.685e-09,8.77
nord,19450217,98,74935,130.78,4.659e-07,6.33
nord,19450226,86,75971,113.20,1.184e-05,4.93
nord,19450306,100,86677,115.37,5.794e-06,5.24
nord,19450314,102,74494,136.92,1.459e-07,6.84
nord,19450322,99,73564,134.58,2.390e-07,6.62
nord,19450330,111,94939,116.92,3.508e-06,5.45
nord,19450407,136,74241,183.19,1.274e-11,10.89
nord,19450416,138,87678,157.39,1.333e-09,8.88
nord,19450424,126,89029,141.53,3.272e-08,7.49
nord,19450503,130,93625,138.85,4.811e-08,7.32
nord,19500703,203,193256,105.04,1.122e-05,4.95
nord,19500711,222,195748,113.41,2.003e-06,5.70
nord,19500719,240,203542,117.91,7.427e-07,6.13
nord,19500727,183,185732,98.53,4.245e-05,4.37
nord,19500804,219,156936,139.55,1.114e-08,7.95
nord,19500812,231,167851,137.62,1.476e-08,7.83
nord,19500821,237,146466,161.81,9.551e-11,10.02
nord,19500906,194,162857,119.12,7.989e-07,6.10
nord,19500914,160,146266,109.39,6.796e-06,5.17
nord,19500922,208,186855,111.32,3.273e-06,5.48
nord,19500930,214,186058,115.02,1.535e-06,5.81
nord,19501009,169,176056,95.99,7.321e-05,4.14
nord,19501110,158,157760,100.15,3.730e-05,4.43
nord,19640630,283,303543,93.23,7.996e-05,4.10
nord,19640810,358,229538,155.97,1.298e-10,9.89
nord,19660721,262,279380,93.78,7.583e-05,4.12
