mot,cle,jours_actifs,total
faites,faites,24718,99374
vouloir,vouloir,24716,118881
proposé,propose,24715,117485
accepté,accepte,24711,103406
remis,remis,24706,99742
blanc,blanc,24704,170799
profit,profit,24703,117778
meilleure,meilleure,24700,121652
études,etudes,24698,171040
vivre,vivre,24696,171086
camp,camp,24691,159201
dehors,dehors,24688,99467
repris,repris,24688,97692
prêt,pret,24686,131840
réaliser,realiser,24686,101316
conduit,conduit,24685,129509
portant,portant,24679,98253
tenue,tenue,24671,99726
paraît,parait,24669,155127
sentiment,sentiment,24666,137153
avions,avions,24660,129718
numéro,numero,24658,184805
trouvent,trouvent,24657,92074
compter,compter,24655,117269
résistance,resistance,24653,121579
parties,parties,24652,122310
pleine,pleine,24650,117682
révolution,revolution,24647,185926
sortir,sortir,24640,157012
demain,demain,24634,107296
hausse,hausse,24628,272088
l'auteur,l'auteur,24622,162246
nommé,nomme,24617,137219
données,donnees,24616,186578
bataille,bataille,24616,132982
l'école,l'ecole,24614,192431
maintien,maintien,24613,110349
totale,totale,24611,102461
activités,activites,24611,186159
georges,georges,24609,159485
vente,vente,24607,178938
venus,venus,24603,113784
andré,andre,24602,147612
probablement,probablement,24597,97633
condamné,condamne,24590,146285
discussion,discussion,24589,118633
né,ne,24584,161835
locaux,locaux,24582,158289
manifestations,manifestations,24582,135677
soirée,soiree,24580,117474
l'évolution,l'evolution,24577,126976
entend,entend,24574,114112
partisans,partisans,24571,110482
critiques,critiques,24569,130631
activité,activite,24560,120814
rappelé,rappele,24554,100137
époque,epoque,24552,113419
conséquence,consequence,24547,94400
gouvernements,gouvernements,24539,112943
discussions,discussions,24538,119858
choisi,choisi,24525,152550
soumis,soumis,24521,95330
suisse,suisse,24519,160401
civile,civile,24516,138672
faudra,faudra,24513,113631
gagner,gagner,24509,124100
montant,montant,24508,140268
adopté,adopte,24507,119072
assure,assure,24502,181554
reconnu,reconnu,24499,112312
prévue,prevue,24493,100081
avis,avis,24492,106151
sol,sol,24489,135621
culture,culture,24487,283384
changement,changement,24483,172338
mauvais,mauvais,24481,118408
mouvements,mouvements,24481,120376
histoire,histoire,24480,212477
essentiellement,essentiellement,24480,101934
prêts,prets,24477,124714
lorsqu'il,lorsqu'il,24476,107254
respect,respect,24469,132536
débats,debats,24469,122700
s'étaient,s'etaient,24466,92586
quatrième,quatrieme,24464,112994
disposition,disposition,24463,97811
charles,charles,24463,150986
conclu,conclu,24459,91872
l'entrée,l'entree,24459,116225
faudrait,faudrait,24455,100984
sociétés,societes,24452,223392
l'absence,l'absence,24450,119241
provoqué,provoque,24447,97352
opération,operation,24446,134753
revenir,revenir,24434,110366
protection,protection,24432,175327
tâche,tache,24425,90835
commence,commence,24423,125173
jeunesse,jeunesse,24422,142059
comprend,comprend,24415,92178
besoins,besoins,24414,118251
précédent,precedent,24410,111890
montrer,montrer,24407,119302
frontière,frontiere,24407,138301
travailleurs,travailleurs,24405,165303
frais,frais,24400,125288
l'origine,l'origine,24393,135870
soldats,soldats,24387,154978
figure,figure,24384,146873
lumière,lumiere,24372,128309
sociaux,sociaux,24370,236768
bilan,bilan,24366,157756
augmentation,augmentation,24365,118298
élu,elu,24355,148039
connaissance,connaissance,24352,105419
centaines,centaines,24351,138128
familles,familles,24351,168244
soutien,soutien,24347,248125
chance,chance,24343,116965
importants,importants,24342,93564
marche,marche,24330,131607
socialistes,socialistes,24330,194886
réduction,reduction,24329,145749
répondu,repondu,24324,98543
livres,livres,24322,186775
estiment,estiment,24321,104569
financière,financiere,24317,158560
appelé,appele,24312,126945
contact,contact,24311,95779
article,article,24311,114051
blanche,blanche,24310,148687
vaste,vaste,24310,100137
explique,explique,24308,396493
devaient,devaient,24305,92528
roi,roi,24302,143031
enquête,enquete,24293,172762
signe,signe,24286,128793
grève,greve,24283,227510
moderne,moderne,24282,117676
souhaite,souhaite,24282,137842
l'université,l'universite,24281,222425
attendant,attendant,24281,89095
procédure,procedure,24277,153047
accords,accords,24276,129268
d'europe,d'europe,24272,125487
l'équipe,l'equipe,24272,200299
tirer,tirer,24270,96636
aussitôt,aussitot,24270,84208
publiques,publiques,24268,157939
retrouver,retrouver,24260,130294
parlementaire,parlementaire,24260,121517
l'institut,l'institut,24259,157532
experts,experts,24254,125340
désir,desir,24254,99300
musique,musique,24251,242995
