mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
national,20110320,1164,1922389,60.55,2.087479e-08,7.6804,2
national,20120422,1607,2365033,67.95,1.378976e-10,9.8604,2
national,20140325,2603,4103777,63.43,2.19959e-09,8.6577,4
national,20150323,3550,3862183,91.92,2.345267e-18,17.6298,1
national,20151206,3248,3393135,95.72,1.3462889999999998e-19,18.8709,3
national,20170508,2750,3628746,75.78,4.332099e-13,12.3633,5
national,20190528,3021,5153330,58.62,4.752457e-08,7.3231,1
national,20210628,2344,4689938,49.98,9.372146e-06,5.0282,2
national,20220611,4898,5239233,93.49,5.696818999999999e-19,18.2444,5
national,20240630,5579,4714672,118.33,1.1633300000000001e-27,26.9343,10
laquelle,20110504,465,2016816,23.06,5.164446e-05,4.287,0
laquelle,20150110,718,3152798,22.77,3.514186e-05,4.4542,0
aucune,20110323,642,2512214,25.56,9.617404e-05,4.0169,0
aucune,20110913,554,2050989,27.01,1.580056e-05,4.8013,0
aucune,20200320,1476,4196731,35.17,3.415551e-12,11.4665,15
aucune,20200823,1063,3189046,33.33,1.990839e-10,9.701,6
aucune,20210201,1155,4552705,25.37,8.037902e-05,4.0949,0
aucune,20210514,1191,3992241,29.83,7.960036e-08,7.0991,3
affaires,20080323,371,611322,60.69,1.5787060000000002e-17,16.8017,1
affaires,20080811,219,663358,33.01,2.605715e-06,5.5841,0
affaires,20081230,268,787725,34.02,8.465715e-07,6.0723,2
affaires,20110227,716,2131173,33.6,4.2249e-07,6.3742,4
affaires,20120516,697,2246191,31.03,4.01214e-06,5.3966,0
affaires,20140403,1258,4414290,28.5,2.743451e-05,4.5617,0
américain,20081106,879,1144921,76.77,4.3526e-09,8.3613,4
américain,20260819,350,641677,54.54,3.330141e-05,4.4775,0
prix,20080603,1220,1007973,121.03,2.664425e-06,5.5744,1
tête,20080311,1038,1266142,81.98,5.47452e-07,6.2617,5
tête,20100316,1772,2412981,73.44,1.311247e-05,4.8823,0
tête,20120422,2070,2365033,87.53,3.919219e-08,7.4068,1
tête,20140325,3505,4103777,85.41,8.453553e-08,7.073,2
tête,20150323,3174,3862183,82.18,3.406701e-07,6.4677,0
tête,20151206,4126,3393135,121.6,2.855469e-15,14.5443,0
tête,20170423,2634,3216092,81.9,3.988613e-07,6.3992,0
tête,20190525,3109,4178848,74.4,8.120094e-06,5.0904,0
tête,20200627,2782,3895957,71.41,2.621475e-05,4.5815,0
tête,20210619,3056,4176871,73.16,1.317565e-05,4.8802,2
tête,20220424,3756,4075483,92.16,4.24637e-09,8.372,1
tête,20240630,5096,4714672,108.09,2.211147e-12,11.6554,1
tête,20260316,6520,4929615,132.26,9.404749e-18,17.0267,1
nouvelles,20140903,1451,4025701,36.04,3.221817e-05,4.4919,0
nouvelles,20201028,1957,4778576,40.95,1.345066e-07,6.8713,1
nouvelles,20210402,1699,4492659,37.82,4.802345e-06,5.3185,0
nouvelles,20211228,1436,3456658,41.54,8.465357e-08,7.0724,0
groupe,20080724,1157,792291,146.03,7.310407e-05,4.1361,1
mesure,20081206,218,700533,31.12,6.196795e-05,4.2078,1
mesure,20120129,504,1662599,30.31,4.177059e-05,4.3791,0
mesure,20121230,667,2281686,29.23,9.614018e-05,4.0171,0
mesure,20151224,834,2727695,30.58,2.176505e-05,4.6622,0
mesure,20200317,2035,5125029,39.71,2.261462e-10,9.6456,3
république,20080721,273,625930,43.62,2.014595e-05,4.6958,0
république,20120507,1323,2213268,59.78,5.554088e-10,9.2554,2
république,20150110,1847,3152798,58.58,1.00678e-09,8.9971,0
république,20151115,1880,3400511,55.29,7.919205e-09,8.1013,0
république,20170619,3256,4219481,77.17,3.305158e-15,14.4808,6
république,20180723,1837,3552998,51.7,7.182459e-08,7.1437,0
république,20201019,1782,4263139,41.8,2.221596e-05,4.6533,0
république,20220424,1930,4075483,47.36,9.413862e-07,6.0262,0
plan,20081013,1230,863980,142.36,1.5656190000000001e-22,21.8053,20
plan,20090210,1239,1811324,68.4,5.276466e-07,6.2777,1
plan,20111106,1370,1874060,73.1,6.661652e-08,7.1764,3
plan,20200428,3007,4937405,60.9,1.005959e-05,4.9974,0
plan,20200904,3150,4437676,70.98,1.359931e-07,6.8665,0
semaine,20200329,3056,3215636,95.04,6.576485e-10,9.182,8
défense,20080615,478,702024,68.09,1.662744e-09,8.7792,1
défense,20250306,2440,5198574,46.94,2.872486e-05,4.5417,0
défense,20260301,1783,3916416,45.53,5.761941e-05,4.2394,0
mise,20130321,2152,4248236,50.66,5.167057e-05,4.2868,0
nom,20150110,1014,3152798,32.16,9.571005e-05,4.019,0
nom,20150504,1357,3407358,39.83,2.183121e-09,8.6609,0
nom,20150913,1046,3210259,32.58,5.726184e-05,4.2421,0
nom,20180310,1468,3930324,37.35,7.931431e-08,7.1006,0
nom,20240715,1399,4234103,33.04,2.708047e-05,4.5673,0
nom,20250508,1980,4747705,41.7,6.62468e-11,10.1788,0
forces,20080811,349,663358,52.61,5.90914e-08,7.2285,0
forces,20110320,1085,1922389,56.44,3.291507e-09,8.4826,5
forces,20150110,1185,3152798,37.59,5.978306e-05,4.2234,0
forces,20151121,1258,3266875,38.51,3.778738e-05,4.4227,0
forces,20181208,1764,3774315,46.74,5.341913e-07,6.2723,1
forces,20190501,1517,3703963,40.96,1.086813e-05,4.9638,0
forces,20230630,1894,4858936,38.98,2.838647e-05,4.5469,1
possible,20200428,2141,4937405,43.36,1.221343e-07,6.9132,17
possible,20201103,1804,4871926,37.03,5.947317e-05,4.2257,0
politiques,20080404,332,881098,37.68,2.007647e-08,7.6973,0
politiques,20120501,608,2125626,28.6,3.421412e-05,4.4658,0
grands,20081106,552,1144921,48.21,1.514397e-10,9.8198,1
grands,20161109,1912,4316866,44.29,2.062968e-09,8.6855,0
grands,20201103,1999,4871926,41.03,1.505007e-07,6.8225,0
grands,20241106,1932,5133181,37.64,9.366298e-06,5.0284,0
mort,20110501,1464,1787178,81.92,1.100408e-16,15.9584,2
mort,20111022,926,1663362,55.67,2.579194e-08,7.5885,0
mort,20171207,2455,5787724,42.42,6.687345e-05,4.1747,0
mort,20191028,1783,4251066,41.94,9.178863e-05,4.0372,0
mort,20200603,2294,4982154,46.04,7.946102e-06,5.0998,0
mort,20220909,2876,5215608,55.14,2.166605e-08,7.6642,0
mort,20230630,3159,4858936,65.01,1.996052e-11,10.6998,1
mort,20240210,2075,4205637,49.34,1.054148e-06,5.9771,0
mort,20250108,1943,4645960,41.82,9.694541e-05,4.0135,0
mort,20250420,1523,3615312,42.13,8.514169e-05,4.0699,0
mort,20260217,2118,4732630,44.75,1.749542e-05,4.7571,1
décision,20080703,412,926437,44.47,4.098066e-05,4.3874,0
décision,20140109,1911,3890072,49.13,1.108903e-06,5.9551,0
