media_a,media_b,annee,tranche,n,echo
ouestfrance,lemonde,2015,0,641,65
ouestfrance,lemonde,2015,1,299,46
ouestfrance,lemonde,2015,2,207,45
ouestfrance,lemonde,2015,3,272,93
ouestfrance,lemonde,2016,0,544,79
ouestfrance,lemonde,2016,1,214,37
ouestfrance,lemonde,2016,2,159,36
ouestfrance,lemonde,2016,3,187,60
ouestfrance,lemonde,2017,0,549,75
ouestfrance,lemonde,2017,1,217,30
ouestfrance,lemonde,2017,2,181,45
ouestfrance,lemonde,2017,3,236,103
ouestfrance,lemonde,2018,0,623,80
ouestfrance,lemonde,2018,1,232,25
ouestfrance,lemonde,2018,2,189,44
ouestfrance,lemonde,2018,3,205,61
ouestfrance,lemonde,2019,0,564,69
ouestfrance,lemonde,2019,1,233,46
ouestfrance,lemonde,2019,2,184,39
ouestfrance,lemonde,2019,3,248,68
ouestfrance,lemonde,2020,0,880,137
ouestfrance,lemonde,2020,1,450,63
ouestfrance,lemonde,2020,2,543,93
ouestfrance,lemonde,2020,3,646,130
ouestfrance,lemonde,2021,0,571,71
ouestfrance,lemonde,2021,1,253,47
ouestfrance,lemonde,2021,2,192,50
ouestfrance,lemonde,2021,3,234,67
ouestfrance,lemonde,2022,0,576,86
ouestfrance,lemonde,2022,1,245,53
ouestfrance,lemonde,2022,2,199,58
ouestfrance,lemonde,2022,3,284,125
ouestfrance,lemonde,2023,0,548,64
ouestfrance,lemonde,2023,1,282,49
ouestfrance,lemonde,2023,2,199,55
ouestfrance,lemonde,2023,3,236,71
ouestfrance,lemonde,2024,0,692,68
ouestfrance,lemonde,2024,1,316,56
ouestfrance,lemonde,2024,2,274,64
ouestfrance,lemonde,2024,3,364,136
ouestfrance,lemonde,2025,0,624,64
ouestfrance,lemonde,2025,1,247,43
ouestfrance,lemonde,2025,2,201,42
ouestfrance,lemonde,2025,3,182,52
ouestfrance,lefigaro,2004,0,2,0
ouestfrance,lefigaro,2005,0,4,0
ouestfrance,lefigaro,2005,1,1,0
ouestfrance,lefigaro,2005,3,1,0
ouestfrance,lefigaro,2006,0,4,0
ouestfrance,lefigaro,2006,1,3,0
ouestfrance,lefigaro,2006,2,2,0
ouestfrance,lefigaro,2006,3,1,0
ouestfrance,lefigaro,2007,0,135,15
ouestfrance,lefigaro,2007,1,69,5
ouestfrance,lefigaro,2007,2,76,5
ouestfrance,lefigaro,2007,3,131,5
ouestfrance,lefigaro,2008,0,956,129
ouestfrance,lefigaro,2008,1,560,75
ouestfrance,lefigaro,2008,2,661,106
ouestfrance,lefigaro,2008,3,1038,218
ouestfrance,lefigaro,2009,0,2051,212
ouestfrance,lefigaro,2009,1,1135,152
ouestfrance,lefigaro,2009,2,1061,159
ouestfrance,lefigaro,2009,3,864,183
ouestfrance,lefigaro,2010,0,1514,142
ouestfrance,lefigaro,2010,1,713,80
ouestfrance,lefigaro,2010,2,693,117
ouestfrance,lefigaro,2010,3,765,183
ouestfrance,lefigaro,2011,0,1511,159
ouestfrance,lefigaro,2011,1,780,116
ouestfrance,lefigaro,2011,2,647,132
ouestfrance,lefigaro,2011,3,711,199
ouestfrance,lefigaro,2012,0,1208,128
ouestfrance,lefigaro,2012,1,488,78
ouestfrance,lefigaro,2012,2,410,70
ouestfrance,lefigaro,2012,3,449,122
ouestfrance,lefigaro,2013,0,940,76
ouestfrance,lefigaro,2013,1,367,29
ouestfrance,lefigaro,2013,2,261,29
ouestfrance,lefigaro,2013,3,297,34
ouestfrance,lefigaro,2014,0,809,60
ouestfrance,lefigaro,2014,1,366,36
ouestfrance,lefigaro,2014,2,274,44
ouestfrance,lefigaro,2014,3,408,70
ouestfrance,lefigaro,2015,0,666,81
ouestfrance,lefigaro,2015,1,317,45
ouestfrance,lefigaro,2015,2,217,51
ouestfrance,lefigaro,2015,3,288,109
ouestfrance,lefigaro,2016,0,561,95
ouestfrance,lefigaro,2016,1,221,47
ouestfrance,lefigaro,2016,2,157,43
ouestfrance,lefigaro,2016,3,210,69
ouestfrance,lefigaro,2017,0,567,88
ouestfrance,lefigaro,2017,1,222,38
ouestfrance,lefigaro,2017,2,191,51
ouestfrance,lefigaro,2017,3,261,96
ouestfrance,lefigaro,2018,0,642,91
ouestfrance,lefigaro,2018,1,243,48
ouestfrance,lefigaro,2018,2,184,54
ouestfrance,lefigaro,2018,3,229,77
ouestfrance,lefigaro,2019,0,581,97
ouestfrance,lefigaro,2019,1,237,66
ouestfrance,lefigaro,2019,2,199,56
ouestfrance,lefigaro,2019,3,268,72
ouestfrance,lefigaro,2020,0,895,176
ouestfrance,lefigaro,2020,1,461,108
ouestfrance,lefigaro,2020,2,551,109
ouestfrance,lefigaro,2020,3,669,155
ouestfrance,lefigaro,2021,0,614,105
ouestfrance,lefigaro,2021,1,271,59
ouestfrance,lefigaro,2021,2,202,50
ouestfrance,lefigaro,2021,3,268,69
ouestfrance,lefigaro,2022,0,631,106
ouestfrance,lefigaro,2022,1,256,43
ouestfrance,lefigaro,2022,2,215,52
ouestfrance,lefigaro,2022,3,321,115
ouestfrance,lefigaro,2023,0,599,74
ouestfrance,lefigaro,2023,1,292,54
ouestfrance,lefigaro,2023,2,206,51
ouestfrance,lefigaro,2023,3,265,62
ouestfrance,lefigaro,2024,0,119,14
ouestfrance,lefigaro,2024,1,43,8
ouestfrance,lefigaro,2024,2,47,15
ouestfrance,lefigaro,2024,3,45,13
ouestfrance,mediapart,2008,0,645,26
ouestfrance,mediapart,2008,1,360,19
ouestfrance,mediapart,2008,2,386,9
ouestfrance,mediapart,2008,3,613,28
ouestfrance,mediapart,2009,0,1696,45
